,KOUN%TOTQ,KOEMPTOTO,KOEMPWREP,KOPOPACTE,KOHWRWEMP,KOIMPCONA,KOWRCCNSE,KOWRCDURE,KOWRCSEME,KOWRCNODE,KOCREU..A,KOCSMTTOA,KOCONPRCF,KOCPCOREF,KOCPEXFEF,KOMSCONGG,KOPICONGG,KOSIAI..E,KOSIAWRTE,KOSIAHOTE,KOMPCONDG,KOMPCONNG,KOMPCONGG,KOBSIHAPR,KOBSIBNER,KOBSIBNMR,KOBSIEMAR,KOCNFCONR,KOCSHHLMR,KOCSHHEMR,KOCSPHIMR,KOCSPSPMR,KOCSECDMR,KOCSECEMR,KOCSEMEMR,KOCSEOHSR,KOCSEOHDR,KODBLNHSA,KOCALL.,KOLRLTHH,KOUS$...,KOCNPER.D,KOEXPGDSA,KOEXCHINA,KOIMPGDSA,KOEXPPRCF,KOIMPPRCF,KONETTRDF,KOPROPRCF,KOPPSRM.F,KOEQUIPTE,KONEWCONA,KOVALCONA,KOPSMANUG,KOPIMANUG,KOIPALL.G,KOCYLEADR,KOROCOINF,KOBSESI.R,KOCOBUSIR,KOCNFBUSR,KOBSIXMER,KOBSIBCOQ,KOBFDSAAF,KOBFXSAAF,KOBSIBCEQ,KOGDP...D,KOCNGOV.D,KOEXNGS.D,KOIMNGS.D,KOEMPMANF,KOEMPCONF,KOIMPGDDA,KOEQUIMAE,KOEQUITTE,KOCONPMTH,KOCONSTRP,KOMSCAPGG,KOPICAPGG,KOSIARRLE,KOSSBFMBE,KOIPMIMAG,KOMPRI30G,KOMPCAPGG,KOBSIIMPR,KOBSIIMER,KOBFINAAF,KOBUSINVR,KODBLNEQA,KOLRLTCO,KO3YEARC,KOSHRPRCF,KOGFCF..D,KOGCFCNSD,KOGCFFNVD,KOBSIBAPR,KOEXPMOVH,KOEXPSCOH,KOIPCHXPG,KOIPCOMPG,KOIPVECHG,KOIPXBSBG,pmiall,pmiout,KORFBEV_agg,KORWHLS_agg,KORMCMP_agg,KORELEC_agg,KORCNST_agg,KORMACH_agg,A001_agg,GSCITOT_agg,KOBDY10_agg,KOCBNG3_agg,KORCOMP_agg,USSKORW_agg,USEPUPO_agg
1985-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.3
1985-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.2,-91.6,136.1,246.8,,,,,,,,,,,,,,,85.74
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.3,-91.6,158.9,263.2,,,,,,,,,,,,,,,120.672
1985-04-30,,-0.038673396,,,-0.333087613,,,,,,,,0.102371618,0.224899693,,1.290340484,0.0,,,,1.298719553,3.666398437,2.773675497,,,,0.0,,,,,,,,,,,0.69464548,0.1,,1.214080275,,0.805547894,,9.857106831,0.726615368,0.713539229,,0.497167177,1.061420124,,37.37720293,,3.738753207,0.851068967,,0.651468102,1.333353087,,,,,2.4,-5.0,-10.0,-4.0,,,,,2.715074765,,,,,40.14651028,,1.15608224,4.000533461,,,3.774032798,,10.10961169,,,,,0.628256657,,0.1,-0.690861865,,,,,,,234.2,-91.6,160.9,280.9,,,0.0229153925,0.05,0.01407393025,0.0,0.0477772739999999,0.05,,-2.748366371,,,0.204842602,,50.765
1985-05-31,,0.718982033,,,0.061564552,,,,,,,,0.713681874,0.576001593,,0.63897981,1.990115432,,,,1.282068843,-1.409892438,-0.304414238,,,,0.0,,,,,,,,,,,1.042388515,-0.3,,1.108640844,,4.155170835,,9.876495406,-0.17108644,0.417362876,,-0.099235892,1.236665564,,-37.22519947,,-0.92166551,2.510592113,,0.647251451,0.660068403,,,,,-5.6,0.0,-2.0,4.5,,,,,1.401210743,,,,,1.371096225,,-3.509131981,0.975617495,,,-0.930239266,,-11.1791406,,,,,1.120178902,,0.2,-0.044736058,,,,,,,236.1,-91.6,162.9,262.5,,,0.0300862786,0.0,-0.020694865,-0.08,-0.0205342774,0.02,,0.838004326,,,-0.084571604,,144.488
1985-06-30,,-0.14658841,,,0.396932624,,,,,,,,0.101540032,0.286761388,,1.892800989,-2.493894835,,,,0.634922768,0.404858853,0.0,,,,0.0,,,,,,,,,,,0.864309616,-0.4,,0.453557176,9.532095842,8.643138757,,-12.24831869,0.120797277,0.0,,0.0,-0.186393344,,8.107481192,,-0.930239266,0.0,,0.643089033,0.655740055,,,,,-1.3,-5.0,-5.0,-3.5,9.480683938,-3.481687604,14.37921274,-6.017653096,0.155878013,,,,,-32.64197044,,2.353049741,11.88612029,,,0.930239266,,14.9531734,,,,,0.842280157,,0.5,2.2928499,-17.9185926,-21.2848867,-19.23603134,,,,223.0,-91.6,170.5,292.9,,,0.04065982825,0.0,0.04092878975,0.025,0.00529821275,0.075,,-3.50133807,,,2.603305358,,143.41
1985-07-31,,-0.096798024,,,-0.600744155,,,,,,,,0.0,0.222469502,,0.933132743,-0.506330196,,,,-3.871451218,1.404235712,0.607904608,,,,0.0,,,,,,,,,,,0.672248064,0.4,,0.167124581,,-8.269449208,,-0.22541366,-0.010060868,-0.062493492,,0.099235892,0.298062814,,11.69901578,,0.930239266,-3.36166108,,0.63897981,0.651468102,,,,,0.5,4.0,7.0,1.2,,,,,-0.931238693,,,,,2.108511849,,1.15608224,-9.962984095,,,0.0,,-3.774032798,,,,,1.383481944,,0.4,0.131109349,,,,,,,,,,,,,-0.019741027,-0.025,-0.017161947,-0.075,-0.03253939125,-0.025,,-2.218843104,,,1.397704882,,88.12
1985-08-31,,0.063674119,,,-0.33358439,,,,,,,,0.169004603,0.443459707,,-0.933132743,3.491626511,,,,1.954459607,1.384789686,1.204833852,,,,0.0,,,,,,,,,,,1.563355623,0.0,,0.977671751,,-4.961444736,,0.216193771,0.401647292,0.291302744,,0.0,0.0,,-5.205238173,,0.92166551,3.36166108,,0.634922768,0.647251451,,,,,2.7,0.0,-5.0,5.4,,,,,0.792640692,,,,,-8.942588692,,-4.706751086,12.5163143,,,1.834913867,,-8.004270767,,,,,1.528872055,,0.0,-0.767239159,,,,,,,232.2,-91.6,164.9,282.1,,,-0.0283141602,0.0,0.0004970311999999,-0.02,0.0114375778,0.0,,1.298382102,,,-0.568588951,,130.952
1985-09-30,,0.850125934,,,-0.359915879,,,,,,,,1.108323688,0.410030538,,1.550418654,5.251803428,,,,5.64413109,0.782782862,1.48591144,,,,0.0,,,,,,,,,,,1.812166431,0.0,,0.977178938,9.699525427,9.755262222,,-1.130216768,0.250212811,-0.228809252,,0.3168947,-0.484804231,,-13.8117194,,1.818231908,0.0,,1.257878221,0.0,,,,,2.1,-1.0,10.0,-2.8,5.353693642,0.489151433,12.80005791,-11.14862257,0.579337745,,,,,16.48955035,,1.197619105,-9.699226599,,,0.0,,1.036278704,,,,,2.144615418,,0.0,1.874782421,25.73777162,18.21452887,34.31286658,,,,233.2,-91.6,162.9,278.5,,,-0.01594761425,0.0,-0.00768813275,0.0,0.0465043089999999,0.0,,5.29020311,,,1.307828922,,70.325
1985-10-31,,0.803680233,,,0.937585141,,,,,,,,0.3001503,-0.125984269,,0.613498857,0.0,,,,-2.469261259,-0.195122013,0.0,,,,0.0,,,,,,,,,,,0.973579007,0.0,,0.072876903,,2.514755404,,7.958469983,0.309396923,0.0,,0.098824003,0.186741417,,4.487232856,,0.896866998,0.0,,0.623054975,0.643089033,,,,,2.4,3.0,-5.0,-3.2,,,,,1.05229489,,,,,20.67579649,,1.183445765,-1.869213301,,,0.904983552,,0.0,,,,,1.809477032,,0.3,1.415320266,,,,,,,,,,,,,-0.00501973625,0.0,0.02134328425,0.025,0.08270613125,0.0,,7.25527745,,,1.031956588,,91.8425
